name,main_business,new_business,future,targeting_point,sources,confidence
에스케이하이닉스(주),"DRAM, NAND 플래시 등 메모리 반도체를 설계·제조·판매하는 회사로, 특히 AI 가속기용 고대역폭메모리(HBM)가 핵심 매출원이다. 2026년 1분기 매출 52.6조 원, 영업이익 37.6조 원(영업이익률 72%)의 사상 최대 실적을 기록하며 AI 메모리 시장을 주도하고 있다.","엔비디아 루빈 GPU용 HBM4를 당초 일정보다 6개월 앞당겨 양산에 돌입했고, 초기 HBM4 물량의 약 70%를 확보한 것으로 추정된다. 청주 M15X 팹(20조 원 이상 투자), 19조 원 규모 청주 첨단 패키징 팹(2027~2028년 준공), 미국 인디애나 약 38.7억 달러 첨단 패키징 시설 등 대규모 설비·고객 위탁 패키징 신사업에 투자 중이다.","HBM4·HBM5 등 차세대 AI 메모리와 16단 48GB HBM4, SOCAMM2, LPDDR6 등 AI 플랫폼용 차세대 제품으로 메모리 슈퍼사이클을 이어가는 것이 중장기 전략이다. 용인 클러스터 1단계(2027년 말 완공)로 생산능력을 확충하고, TSMC와의 'One-Team' 협력 및 고객 맞춤형 위탁 패키징으로 후공정 경쟁력을 강화한다.","SK하이닉스는 300mm 웨이퍼 팹의 5단계 완전 자동화를 목표로 하고 있어, 반도체 제조·패키징 공정의 로보틱스·자동화·MES/물류 자동화(AMHS) 역량을 강조하면 유리하다. 차세대 첨단 패키징(WLP, WT 등) 라인 신설과 연계해 정밀 자동화 장비·공정 엔지니어링 경험을 어필하면 타겟팅에 효과적이다.","SK하이닉스, 2026년 1분기 경영실적 발표 – SK hynix Newsroom: https://news.skhynix.co.kr/q1-2026-business-results/ | 2026 Market Outlook: SK hynix's HBM to Fuel AI Memory Boom – SK hynix Newsroom: https://news.skhynix.com/2026-market-outlook-focus-on-the-hbm-led-memory-supercycle/ | SK하이닉스 '19조 투자' 청주 첨단 패키징 공장 첫 삽 – 파이낸셜뉴스: https://www.fnnews.com/news/202604221403520981 | SK하이닉스 ""반도체 공장 완전 자동화 목표"" – 디일렉: https://www.thelec.kr/news/articleView.html?idxno=10889 | CES 2026: SK hynix Showcases Next-Gen AI Memory Innovations – SK hynix Newsroom: https://news.skhynix.com/sk-hynix-showcases-next-generation-ai-memory-innovations-at-ces-2026/",high
현대모비스(주),"현대모비스는 자동차 모듈(섀시/칵핏 등) 및 핵심부품 제조와 A/S 부품 사업으로 매출을 내는 글로벌 자동차 부품사로, 2025년 연결기준 매출 61.1조 원(모듈·부품 제조 47.8조, A/S 부품 13.3조), 영업이익 3.36조 원의 역대 최대 실적을 기록했다. 최근에는 전동화(배터리시스템·구동) 및 고부가 전장부품 비중 확대가 성장을 견인하고 있다.","현재 진행 중인 대표 신사업은 로보틱스로, CES 2026에서 계열사 보스턴다이내믹스를 첫 고객으로 정밀 액추에이터를 공급하기로 했으며(휴머노이드 아틀라스 2028년 연 3만 대 양산 목표 대응) 외부 고객 유치를 추진 중이다. 또한 북미 전동화 공장 가동, 차량용 반도체, SDV(소프트웨어 정의 차량)용 통합 제어기 등에 투자하고 있으며, 2026 상반기 신입 채용 직무에 배터리·BMS·자율주행·조향·IVI SW·로보틱스가 포함됐다.","현대차그룹은 2026~2030년 국내 125.2조 원 투자 중 AI·SDV·전동화·로보틱스·수소 등 미래 신사업에 50.5조 원을 배정했고, 현대모비스는 그 안에서 로보틱스 핵심부품(액추에이터)과 차량용 반도체, SDV 표준화를 중장기 성장축으로 삼고 있다. 자동차 부품을 넘어 '피지컬 AI'·로봇 부품 공급사로 사업 영역을 확장하는 방향이다.","로보틱스 지원자라면 정밀 액추에이터 설계, 부품 표준화·제조용이화(DFM), 휴머노이드 양산화 경험·관심을 강조하고, 자동차 부품 제조 역량과 로봇 부품을 연결하는 캡티브마켓(보스턴다이내믹스) 이해를 자소서에 녹이면 좋다. 자율주행·조향·전동화 시스템과 연계한 모션 제어/액추에이션 엔지니어링 역량도 효과적인 타겟팅 포인트다.","현대모비스 2025년 매출 61조1181억원·영업이익 3조3575억원…역대 최대 (이코노믹리뷰): https://www.econovill.com/news/articleView.html?idxno=727417 | 현대모비스, 신사업 '로보틱스' 캡티브마켓 돌파할까 (블로터/다음): https://v.daum.net/v/yM9jY9ZvW5 | 현대자동차그룹, 2030년까지 5년간 국내에 역대 최대 규모 125.2조 원 투자 (현대차그룹): https://www.hyundaimotorgroup.com/ko/news/CONT0000000000193232 | 현대모비스 채용공고 - 2026 상반기 신입 채용 (자소설닷컴): https://jasoseol.com/recruit/102712",high
네이버(주),"국내 1위 검색포털을 기반으로 한 광고(서치플랫폼, 2025년 4조1689억원)와 커머스(3조6884억원)가 주력이며, 핀테크(네이버페이), 콘텐츠(웹툰), 엔터프라이즈(클라우드)로 매출이 다각화돼 있다. 2025년 연결 매출 12조350억원, 영업이익 2조2081억원으로 사상 최대 실적을 기록했다.","전 사업에 자체 LLM(하이퍼클로바X)을 접목하는 AI 전환과 함께 '피지컬 AI'(현실 공간의 AI·로보틱스)를 신성장축으로 공격적으로 키우고 있다. 네이버클라우드-엔비디아 옴니버스/아이작 심 기반 피지컬 AI 플랫폼 공동개발 MOU, 드론 자율비행 기업 유비파이 등 로봇·드론 스타트업 투자, 국토부와의 이동로봇 상용화 협력 등 자체기술+투자 투트랙을 진행 중이다.","로봇친화 빌딩 '1784'에서 검증한 멀티로봇 제어(ARC)·자율주행 로봇(루키/누리)·디지털트윈 기술을 사우디 NHC, 일본 등 글로벌 도시 환경으로 수출하는 것이 중장기 먹거리다. 네이버랩스는 ""에이전트 AI의 다음 단계는 피지컬 공간의 AI""라며 3D 비전 파운데이션 모델(CROCO)과 공간지능을 핵심 경쟁력으로 삼고 있다.","클라우드 기반 멀티로봇 제어(ARC), 디지털트윈, 공간지능/3D 비전, 자율주행(실내 루키·실외 누리) 등 네이버랩스의 피지컬 AI 스택에 직접 연결되는 경험을 강조하라. 특히 엔비디아 Isaac Sim/Omniverse 시뮬레이션 기반 로봇 개발 역량과 '현장 적용형(상용화) 로보틱스' 경험이 차별화 포인트다.","네이버, 25년 4분기 및 연간 실적 발표 (NAVER Corp. 보도자료) https://navercorp.com/media/pressReleasesDetail?seq=34325 | 네이버, 피지컬 AI 밸류체인 전방위 포석…스타트업 투자·자체 기술 '투트랙' (CEOSCOREDAILY) https://www.ceoscoredaily.com/page/view/2026031216135300409 | 네이버랩스 '에이전트화 되는 AI 다음 단계는 피지컬 AI' (뉴스1) https://www.news1.kr/it-science/general-it/6193355 | 네이버, 국토부와 손잡고 이동 로봇 상용화 속도 (뉴스핌) https://www.newspim.com/news/view/20260527001083",high
엘에스전선(주),"국내 1위 전선·케이블 제조사로, 초고압 지중·해저케이블, 일반 전력선, 통신·산업용 케이블 등을 제조·판매한다. 2025년 연결 매출 약 7조5,882억원, 영업이익 약 2,798억원으로 역대 최대 실적을 냈으며, 초고압·해저케이블 중심의 글로벌 전력망 프로젝트가 매출을 견인한다.","자회사 LS그린링크를 통해 약 1조원을 투자한 미국 버지니아주 체사피크 해저케이블 공장(미국 최대 규모, 201m 케이블 생산타워·전용 항만 포함)을 착공해 2027년 준공 예정이며 330명 이상 고용을 창출한다. 국내에서는 강원 동해 공장의 HVDC 해저케이블 생산능력을 4배 이상 확대해 아시아 최대급 생산기반을 구축 중이고, 동해안-수도권 HVDC 2단계 등 대형 프로젝트를 수주하고 있다.","AI 데이터센터·전력망 수요 급증에 대응해 HVDC(초고압직류송전)와 해저케이블을 축으로 한 전력 인프라 통합 솔루션을 핵심 성장축으로 삼고 있으며, 525kV급 HVDC 케이블 상용화와 해상풍력·에너지고속도로 시장을 공략한다. 또한 LS일렉트릭·한전과 함께 세계 최초의 데이터센터용 초전도 전력망 구축을 추진하는 등 차세대 전력 인프라로 영역을 확장하고 있다.","해저케이블·HVDC 공장 증설과 미국 신공장 가동에 맞춰 설비효율화(기계/전자), 제품설계, 제어계측, R&D(고분자가공/열유동해석) 직무를 모집 중이므로, 케이블 생산공정 자동화·스마트팩토리·설비 제어/계측 역량과 대형 장비(생산타워) 엔지니어링 경험을 강조하면 효과적이다. 글로벌 생산기지 확대 흐름에 맞춰 자동화 라인 설계·설비 효율화 프로젝트 경험을 부각하는 것을 추천한다.","LS전선, 수주잔고 7.6조원…업황 호조에 실적도 신기록 - ZDNet Korea https://zdnet.co.kr/view/?no=20260330094513 | LS, 1조 들여 美최대 해저케이블 공장 짓는다 - 한국경제 https://www.hankyung.com/article/2025042941941 | LS전선·LS일렉트릭·한전, 세계 첫 '데이터센터용 초전도 전력망' 구축 맞손 - 일요주간 https://m.ilyoweekly.co.kr/news/newsview.php?ncode=1065601574210040 | LS전선 채용공고 - '26년 채용연계형 인턴 채용 - 자소설닷컴 https://jasoseol.com/recruit/103239",high
한국과학기술원,"한국과학기술원(KAIST)은 1971년 설립된 국내 대표 이공계 연구중심 국립대학으로, 교육·연구·기술사업화로 운영되며 정부 출연금과 연구과제 수주, 산학협력이 주요 재원이다. 반도체 산업 박사급 인력의 약 25%를 배출하고 1,350여 개 벤처기업을 창업시킨 세계적 연구·창업 거점이다.","현재 휴머노이드·보행 로봇 분야에서 활발한 연구가 진행 중으로, 12km 주행·문워크가 가능한 차세대 휴머노이드 로봇(Humanoids 2025, CoRL 2025 발표)과 항공기 조종 휴머노이드 PIBOT, 벽·천장을 오르는 산업용 보행 로봇을 개발하고 있다. 휴보(HUBO) 계보를 잇는 로봇 창업 붐이 확산되어 조선소·도심 현장 적용형 로봇 스타트업이 다수 배출되고 있다.","'비전 2031(글로벌 가치창출 선도대학)'을 통해 설립 60주년인 2031년까지 세계 10위권 대학 도약을 목표로 교육·연구·기술사업화·국제화·미래전략 5대 혁신을 3단계로 추진 중이다. 학부생 기업가정신 의무화, 창업 프로그램 석·박사 확대, 2031년까지 1개 이상 해외 캠퍼스 설치 등 기술사업화·국제화 중심 성장 전략을 펴고 있다.","KAIST의 휴머노이드/보행 로봇·무인시스템(자율주행, UAV, PIBOT) 연구 흐름과 휴보로 대표되는 로봇 상용화·창업 생태계에 본인의 로보틱스·제어·자동화 역량을 연결해 강조하면 좋다. 단순 연구를 넘어 산업현장(조선소·도심) 적용 및 기술사업화 기여 의지를 함께 드러내는 것이 차별점이다.","문워크 추는 차세대 휴머노이드 로봇 개발 - KAIST 연구뉴스 (https://www.kaist.ac.kr/researchnews/html/news/?mode=V&mng_no=52170) | 조선소와 도심을 누비는 차세대 로봇 / 로봇 창업 붐 확산 - KAIST 연구뉴스 (https://researchnews.kaist.ac.kr/researchnews/html/news/?mode=V&mng_no=52030) | KAIST, 비전 2031 수립...'글로벌 가치창출 선도대학' - 전자신문 (https://www.etnews.com/20180313000239)",medium
유니투스(주),"현대자동차그룹(현대모비스)의 부품 통합계열사로, 자동차 핵심부품을 전문 제조해 완성차에 공급합니다. 주력 제품은 전동화 부품(HEV 모터, PCU·ICCU·OBC, PE시스템), 헤드/리어램프, 에어백 등 안전부품, 전자제동부품(MEB·iMEB)입니다. 즉 부품 제조·납품이 주 매출원입니다.","전기차·하이브리드 전환에 맞춘 전동화 부품(모터, 전력변환장치, PE시스템) 생산 확대가 현재진행형 핵심 사업이며, 현대모비스 계열 차원에서 배터리·BMS·전동화 SW 등 관련 직무 채용이 진행되고 있습니다. 다만 유니투스 단독의 구체적 신규 투자·공장 증설 규모는 공개 정보 부족입니다.","회사는 경영목표로 ""제조기술력 확보·품질 안정화""와 ""업무 스마트화를 통한 미래 모빌리티 산업 선도""를 제시하며, 전동화 부품 중심의 제조 경쟁력 강화를 중장기 방향으로 삼고 있습니다. 모빌리티 전동화 흐름에 맞춘 부품 대량생산 역량 확보가 미래 먹거리로 보입니다. 구체적 중장기 투자 로드맵은 공개 정보 부족입니다.","전동화 부품(모터, 전력변환, 제동) 양산 라인의 제조 자동화·품질혁신 역량을 강조하고, 스마트팩토리·공정자동화·설비 제어 경험을 ""업무 스마트화"" 비전과 연결하면 효과적입니다. 대량 양산 환경에서의 로보틱스·자동화 설비 운영/개선 경험을 부각하는 것이 좋습니다.","유니투스 - 나무위키 https://namu.wiki/w/%EC%9C%A0%EB%8B%88%ED%88%AC%EC%8A%A4 | 유니투스 회사소개(사업분야/제품) https://www.unitus.co.kr/about/overview.php | 현대모비스, 모듈 및 부품 통합계열사 '모트라스와 유니투스(UNITUS)' 확정 - 다나와자동차 https://auto.danawa.com/news/?Tab=A&Work=detail&no=5162508 | 유니투스(그룹사) - 현대자동차그룹 https://www.hyundaimotorgroup.com/ko/group/CONT0000000000184319",medium
에이에스이코리아(주),"대만 ASE 그룹의 한국 법인(1967년 모토로라로 설립, 1999년 ASE 인수)으로, 경기도 파주에 위치한 반도체 후공정(OSAT) 전문 기업이다. 자동차용 파워 IC, 이미지/의료·산업용 센서, 무선통신 증폭기 등 다양한 반도체의 패키징 및 테스트로 매출을 낸다. 약 2,000명 규모로 통신·모바일·자동차·산업용 반도체 패키지 토탈 솔루션을 제공한다.","고부가가치 차세대 제품을 위해 이미지 센서, BGA 패키지, 테스트 분야에 지속 투자하고 있으며, 파주시 채용박람회 참여 등 반도체 생산직·개발직 신규 채용을 꾸준히 진행 중이다. 모기업 ASE 그룹 차원에서는 AI·HPC 수요에 대응해 2025년 CapEx를 약 10억 달러 증액하고 FOCoS-Bridge, SiP, 공동패키징광학(CPO) 등 첨단 패키징에 대규모 투자 중이다.","ASE 그룹은 AI/HPC 구동 첨단 패키징(LEAP, CoWoS·HBM 집적)을 핵심 성장축으로 삼아 LEAP 매출을 16억→32억 달러로 두 배 확대하고 2027년까지 AI 관련 CoWoS 조립 수주를 확보했다. R&D·인적자본·첨단 캐파와 함께 '스마트팩토리 인프라'에 집중 투자하며 다년간 성장을 추진하고 있다. 한국 법인도 이미지센서·고집적 패키지 등 고부가 차세대 제품으로 포트폴리오를 고도화하는 방향이다.","그룹이 스마트팩토리 인프라와 설비·자동화 CapEx(2025년 약 21억 달러)에 집중 투자하므로, 후공정 장비 자동화·공정 데이터 기반 개선·로봇/비전 검사 경험을 강조하면 좋다. 패키징·테스트 라인의 수율·생산성 향상에 기여한 자동화/엔지니어링 프로젝트 사례를 부각하는 것이 효과적이다.","에이에스이코리아 공식 홈페이지 https://www.asekr.com/ | ASE 그룹 - 나무위키 https://namu.wiki/w/ASE%20%EA%B7%B8%EB%A3%B9 | ASE Announces FOCoS-Bridge With TSV (Business Wire, 2025-05-28) https://www.businesswire.com/news/home/20250528142681/en/ | Chip Packaging Giant ASE to Boost 2025 CapEx by US$1B (TrendForce, 2025-10-31) https://www.trendforce.com/news/2025/10/31/news-chip-packaging-giant-ase-reportedly-to-boost-2025-capex-by-us1b-amid-strong-ai-and-hpc-demand/",medium
코리아써키트,"영풍그룹 계열의 인쇄회로기판(PCB) 제조 전문기업으로, 스마트폰용 HDI 기판, 반도체 패키지 기판(FC-BGA 등), 모듈용 PCB를 주력으로 매출을 낸다. 2025년 연결 매출은 약 1조5천억원대 규모로 추정되며 매출 구성은 PCB 약 63%, FPCB 약 31%, 반도체(패키지) 기판 약 6% 수준이다.","고부가 반도체 패키지 기판인 FC-BGA(플립칩-볼그리드 어레이) 사업을 본격화하며, 통신용 FC-BGA에 집중해 약 2,000억원 규모의 시설투자를 단행했다. 또한 자동화시스템 부문 경력 채용(C#/Java/JS, DB 설계, 설비기술, PCB 공정·품질 엔지니어 등)을 진행 중이며, 2025년 말 영풍그룹 PCB 사업을 코리아써키트로 일원화하는 지배구조 정비도 추진했다.",서버·노트북·전장(자동차)·AI용 고부가 FC-BGA 비중을 확대해 향후 반도체 기판 매출이 스마트폰 주력 HDI 기판을 넘어서는 것을 목표로 한다. 반도체·모듈 PCB 매출 성장세를 기반으로 한 실적 턴어라운드와 통신용 패키지 기판 차별화 경쟁력 강화가 중장기 성장 축이다.,"PCB 제조라인 자동화·설비기술 및 자동화시스템(생산 데이터·DB 설계, 설비 제어) 역량을 강조하면 현재 진행 중인 자동화 부문 채용과 직접 연결된다. FC-BGA 고정밀 기판 양산 확대에 맞춰 공정 자동화·품질 검사 자동화, 스마트팩토리/MES 연동 엔지니어링 경험을 어필하는 것이 효과적이다.","코리아써키트, 반도체·모듈 PCB 매출 성장세 '지속'…올해 턴어라운드 주목 (네이트/뉴스) https://news.nate.com/view/20250818n03425 | 코리아써키트, FC-BGA에 내년 2000억 시설투자 (전자신문) https://m.etnews.com/20211216000064 | 영풍, PCB 사업 코리아써키트로 일원화 (경제일보/이코노믹데일리) http://www.kyungjeilbo.com/view/20251209173946289 | 코리아써키트 채용 - 자동화시스템 부문 경력 모집 (사람인) https://www.saramin.co.kr/zf_user/company-info/view/csn/ckRtZ3JWeVBlOVRpamJZTHBLZHdTUT09",medium
한국생산기술연구원,"산업통상자원부 산하 정부출연연구기관(비영리)으로, 매출보다는 정부출연금·국가 R&D 과제·기업지원 수탁사업으로 운영된다. 생산기술 분야 산업 원천기술 개발과 실용화, 중소·중견기업 기술지원(기술상담·개방형실험실·렌탈랩 등)이 핵심이며, 3대 중점 연구분야는 지능화뿌리기술, 인간중심생산기술, 지속가능기술이다.","현재 산업용 AI·디지털 트윈·로봇 SI 등 지능화 기술로 뿌리산업을 첨단화하는 사업과, AI 융합 무금형 디지털 제조 기반 미래모빌리티 부품 DX 혁신지원, 중소조선기업 디지털 생산역량 강화, 뿌리기업 기술첨단화 지원 등을 추진 중이다. 2026년에는 인간 공존형 로봇 메커니즘, 첨단로봇 활용 공정 최적화, AI 기반 디지털 자동화 시스템, 자율제조 기술 분야 연구직을 채용하고 있다.","제조업의 지능화·자율제조(인공지능+로봇 기반 자율제조), 인간중심 생산기술(인간-기계 협업·작업자 안전), 그리고 배출제로·녹색전환·무탄소 제조 등 지속가능 제조 생태계 구축을 중장기 성장축으로 삼고 있다. 뿌리기술을 미래 첨단산업으로 전환하고 중소·중견기업을 육성하는 방향을 지향한다.","로봇 SI·공정 자동화·디지털 트윈·자율제조 등 '제조 현장 적용형' 로보틱스 역량과 중소·중견 제조기업 기술지원 경험을 강조하는 것이 효과적이다. 인간 공존형 로봇, 협동로봇 안전, AI 기반 공정 최적화 프로젝트 경험을 KITECH의 3대 중점분야와 연결해 어필하면 좋다.","KITECH 설립목적·3대 중점분야 (지능화뿌리기술·인간중심생산기술·지속가능기술) - https://www.kitech.re.kr/introduce/purpose | 한국생산기술연구원 2026년 채용정보·자기소개서 문항(인간 공존형 로봇, 첨단로봇 공정 최적화, AI 디지털 자동화) - https://jasoseol.com/companies/978/careers | 2026년도 로봇활용 제조혁신 지원사업 공고 - 한국로봇산업진흥원 https://kiria.org/portal/main.do",medium
한양이엔지(주),"반도체·디스플레이 생산라인의 초고순도(UHP) 가스 공급 시스템, 화학물질 배관, 클린룸 설비를 설계·시공하는 반도체 인프라 1위 기업이다. 삼성전자·SK하이닉스 등의 팹 증설 엔지니어링 수주가 핵심 매출원으로, 2022년 연결 매출 약 1조 1,629억 원 중 엔지니어링사업부가 9,711억 원을 차지한다. 그 외 산업플랜트, 환경·그린에너지 등도 사업 영역에 포함된다.","반도체에서 축적한 초고순도 가스 제어 및 극저온·고압 정밀 설계 기술을 우주발사체 연료 인프라 분야로 확장 중이다. 누리호 발사대·시험설비 구축 경험을 바탕으로 한국형발사체 성능개량사업, 소형발사체 개발사업 등 뉴스페이스 영역에 참여하고 있다. 2025년 대졸 신입 공채에서 시공관리·설계·견적·품질·해외영업 등 전 직무를 폭넓게 모집했다.",AI 서버·HBM 수요로 촉발된 반도체 설비투자 빅사이클에 따라 2026년부터 매출·이익 동반 성장을 기대하는 것이 1차 성장축이다. 동시에 민간 주도 우주산업(뉴스페이스) 확대에 대응한 발사 인프라·시험설비 사업을 중장기 신성장 동력으로 육성하고 있다.,"로보틱스/자동화 지원자라면 클린룸·UHP 배관 등 반도체 팹의 정밀 공정 환경에서의 진동·오염 제어, 극저온·고압 안전설계와 자동화 설비 경험을 연결해 강조하면 좋다. 다만 공개된 자료상 사내 로봇·스마트팩토리 사업이 명시되지 않으므로, 정밀 엔지니어링·공정 자동화 역량으로 접근하는 것이 효과적이다.",반도체 인프라 1위의 변신… 우주항공까지 손 뻗은 한양이엔지 (핀포인트뉴스) https://www.pinpointnews.co.kr/news/articleViewAmp.html?idxno=431943 | [스페셜리포트] 우주시대 이끈 기계설비업체 '한양이엔지' (한국기계설비신문) http://www.kmecnews.co.kr/news/articleView.html?idxno=26075 | 한양이엔지(주) 2026년 기업정보 - 사람인 https://www.saramin.co.kr/zf_user/company-info/view/csn/MTM2dFdzTU9MQTJrWk40emlsR1ZLQT09/company_nm/%ED%95%9C%EC%96%91%EC%9D%B4%EC%97%94%EC%A7%80(%EC%A3%BC),medium
(주)에이치엘클레무브,"HL그룹(옛 한라그룹) 계열 자율주행 부품 전문기업으로, 2021년 12월 만도헬라일렉트로닉스와 만도모빌리티솔루션즈 합병으로 출범했다. 레이더, 카메라, 라이다 등 ADAS(첨단 운전자 지원 시스템) 센서와 자율주행 통합제어기(ADCU)를 현대차·기아 등 완성차에 공급해 매출을 낸다. 2025년 상반기 매출 약 9,069억원으로 전년 동기 대비 20.2% 성장했다.","4D 이미징 레이더, 고해상도 카메라, 고정형 라이다, 실내 승객감지센서, 고성능 자율주행 통합제어기 등 완전자율주행 핵심 제품의 상용화를 추진 중이다. 인도 첸나이 공장에서 2025년 4월 첫 레이더 양산을 시작했고 북미 매출이 급성장(HL만도 북미 매출 비중 2023년 4.1%→2025년 상반기 22.6%) 중이며, 2026년 상반기 Radar 제품 PM 및 R&D 경력직 등 대규모 채용을 진행하고 있다.","북미·중국(쑤저우)·인도(첸나이, 벵갈루루 R&D) 글로벌 거점을 확대하고 현대차·기아 외 북미·중국 전기차 스타트업으로 공급처를 다변화해 2030년 매출 4조원을 목표로 한다. 차세대 고성능 컴퓨팅(HPC) 기반 첨단 자율주행 통합제어기 개발에 집중하며 완전자율주행 대응 역량을 강화하고 있다.","레이더/라이다/카메라 센서 신호처리, 센서 퓨전, 자율주행 통합제어기(ADCU)·고성능 컴퓨팅(HPC) 임베디드 개발 경험을 강조하면 좋다. 양산 자동화·글로벌 공장 셋업(인도·북미) 경험이나 ADAS 검증·테스트 자동화 역량도 현재진행형 사업과 직결되는 타겟팅 포인트다.","만도 자율주행 자회사 HL클레무브 공식 출범...2030년 매출 4조원 목표 - 디일렉, https://www.thelec.kr/news/articleView.html?idxno=15301 | 자율주행 부품 존재감…HL클레무브, 북미 매출 급성장 - 머니투데이, https://www.mt.co.kr/industry/2025/08/21/2025082014554813173 | HL클레무브, 차세대 고성능 컴퓨팅 개발…첨단 자율주행 대응 - 전자신문, https://www.etnews.com/20250912000254 | [(주)에이치엘클레무브] 2026 상반기 R&D 경력직/Radar 제품 PM 채용 - 사람인/비즈니스피플, https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52593317",high
(주)모베이스전자,"스마트키 모듈, 타이어공기압감지시스템(TPMS), 바디도메인컨트롤러(BDC) 등 자동차 전장부품을 설계·생산해 완성차에 공급하는 기업으로, 현대차·기아 매출 비중이 약 67~70%에 달한다. 2024년 처음으로 연결 매출 1조원(약 1조434억원)을 돌파했다.","2026년부터 6년간 현대차그룹에 약 1조원 규모(연 약 1670억원)의 바디도메인컨트롤러(BDC)를 공급하며, 동시에 AI 정밀제어 기술을 적용한 로봇용 그리퍼(로봇손)를 개발해 로봇 부품 시장에 본격 진출했다. 현대차 모빌리티 로봇 '모베드(MobED)'에 메인보드와 와이어링을 공급 중이며, 로봇 R&D 인력을 50명 추가 확충할 계획이다.","피지컬 AI(로보틱스)를 미래 먹거리로 보고 자동차 전장 기술을 로봇 산업으로 확장하는 사업 다각화를 추진하며, 향후 5년간 매출 20% 성장을 목표로 한다. 전기차용 무선충전 시스템·BMS/BMM 등 전동화 부품과 로봇 부품을 양대 축으로 키우려 한다.","로봇 그리퍼의 파지력·정밀제어, 센서/카메라 기반 인식, 전장 제어기(BDC) 임베디드 등이 핵심이므로, 정밀 액추에이터·힘 제어·모션 제어, AI 기반 제어, 임베디드 HW/SW 역량을 강조하면 효과적이다. 자동차 전장에서 로봇으로의 기술 전이 경험이나 양산화 엔지니어링 경험을 어필하면 차별화된다.","올해 주가 163% 폭등, 현대차+로봇 '이 회사'…'5년 내 매출 20% 늘린다' - 헤럴드경제 (https://biz.heraldcorp.com/article/10707196) | 모베이스전자 주가 19% 급등…로봇 그리퍼 진출 선언에 1조 장기 수주 재조명 - 한투데이 (https://www.hantoday.net/news/articleView.html?idxno=52562) | '생산 효율화·해외 자회사 덕'…모베이스전자, 지난해 순이익 184억원 달성 - 뉴데일리 (https://biz.newdaily.co.kr/site/data/html/2025/02/26/2025022600288.html)",high
